EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
13434.867,13602.247,48424.111,-13625.791,-14735.566,-30016.401,-53792.531,27722.149,0.028,0.886,0.547,0.000,0.000,0.000,73.333,1.000,1.000
66263.778,67878.995,242924.118,-60658.402,-90095.718,-182493.640,-256585.124,145173.781,0.032,0.900,0.548,0.000,0.000,0.000,73.333,2.000,1.000
151852.176,145343.275,511752.526,-69293.220,-223934.190,-479185.210,-475441.135,323789.756,0.033,0.908,0.546,0.000,0.000,0.000,73.333,3.000,1.000
249814.763,197002.903,609956.980,105122.897,-250352.209,-705950.204,-372018.173,421161.391,0.035,0.911,0.548,0.000,0.000,0.000,73.333,4.000,1.000
375605.839,249924.488,522696.805,401459.645,3971.290,-590577.531,50133.611,415204.302,0.033,0.913,0.553,-0.031,0.000,-0.031,73.333,5.000,1.000
505779.763,352451.736,474278.451,549244.412,413221.306,-113868.908,401813.479,438842.006,0.036,0.912,0.547,-9.430,7.996,-14.526,73.333,6.000,1.000
559367.538,447799.027,523473.613,500715.860,667224.543,454977.349,497397.151,529635.257,0.040,0.911,0.545,-3.387,1.831,-4.395,73.333,7.000,1.000
532053.189,470071.414,544047.461,484450.261,666399.247,782344.867,515143.327,584451.455,0.041,0.910,0.546,-1.770,0.336,-2.014,73.333,8.000,1.000
505492.171,459984.770,488389.075,571236.483,568343.846,779631.076,598884.142,545451.459,0.040,0.910,0.544,-1.221,-0.183,-1.129,73.333,9.000,1.000
506772.708,472191.943,422325.048,602761.210,533110.021,652585.494,669452.507,470606.056,0.038,0.911,0.542,-1.038,-0.366,-0.763,73.333,10.000,1.000
489067.344,490904.718,387984.527,524929.823,560537.823,598579.280,647501.974,424844.260,0.036,0.914,0.537,-1.038,-0.336,-0.732,73.333,11.000,1.000
437668.066,482663.435,363810.699,445058.124,556122.975,619558.161,581692.609,401093.395,0.038,0.918,0.542,-1.068,-0.397,-0.763,73.333,12.000,1.000
387471.856,445125.192,328228.223,417577.195,495271.128,631122.739,531956.014,368728.469,0.039,0.916,0.542,-1.038,-0.336,-0.854,73.333,13.000,1.000
355057.256,398290.409,288735.567,398929.497,435220.309,594647.899,498288.497,327375.903,0.041,0.913,0.545,-1.160,-0.397,-0.916,73.333,14.000,1.000
325991.185,359357.414,255860.559,359178.546,403231.529,535104.238,461236.980,290899.458,0.038,0.905,0.543,-1.221,-0.214,-0.763,73.333,15.000,1.000
290976.761,327631.573,227169.729,315186.598,375998.624,487508.633,418873.438,260796.148,0.037,0.902,0.540,-1.190,-0.244,-0.793,73.333,16.000,1.000
255640.284,295145.073,197583.755,282244.059,338339.094,453479.321,379505.218,230846.715,0.033,0.901,0.542,-1.068,-0.275,-0.916,73.333,17.000,1.000
224743.310,261106.673,167683.308,254101.400,299333.217,417716.257,344746.368,199726.107,0.034,0.902,0.540,-1.068,-0.366,-0.977,73.333,18.000,1.000
196142.324,229012.450,139806.115,223132.928,266767.782,377587.664,310933.004,170107.197,0.033,0.904,0.543,-1.038,-0.366,-1.099,73.333,19.000,1.000
167417.650,199534.756,113876.639,191414.312,237216.395,339725.282,276936.134,142816.522,0.034,0.906,0.542,-0.946,-0.397,-1.190,73.333,20.000,1.000
139275.920,171106.887,88783.734,162590.391,206753.217,305944.182,244279.693,116676.891,0.036,0.909,0.544,-0.885,-0.305,-1.099,73.333,21.000,1.000
112853.350,143232.381,64418.077,136029.402,176523.897,273356.500,213588.019,91160.291,0.035,0.913,0.542,-0.946,-0.214,-1.068,73.333,22.000,1.000
87900.912,116541.299,41240.657,109969.167,148394.176,240814.420,184187.658,66716.831,0.034,0.914,0.544,-0.977,-0.214,-1.038,73.333,23.000,1.000
63839.637,91284.804,19310.780,84490.846,121984.649,209486.264,155690.529,43595.459,0.032,0.917,0.545,-0.977,-0.275,-1.068,73.333,24.000,1.000
40691.430,67163.459,-1611.125,60370.742,96370.007,179970.987,128329.123,21579.492,0.030,0.919,0.544,-0.977,-0.183,-0.946,73.333,25.000,1.000
18687.486,43997.876,-21609.780,37611.382,71597.472,151755.385,102266.213,499.391,0.027,0.919,0.542,-0.916,-0.366,-1.068,73.333,26.000,1.000
-2194.623,21872.097,-40618.027,15823.370,48058.167,124478.843,77374.919,-19596.808,0.024,0.922,0.543,-1.068,-0.397,-0.977,73.333,27.000,1.000
-22097.026,841.310,-58624.264,-5066.984,25732.962,98303.708,53532.552,-38661.089,0.024,0.922,0.542,-1.129,-0.519,-0.977,73.333,28.000,1.000
-41057.240,-19161.938,-75691.186,-24923.419,4406.392,73373.766,30749.488,-56744.340,0.022,0.924,0.541,-1.282,-0.671,-0.977,73.333,29.000,1.000
-59047.572,-38203.386,-91862.907,-43733.041,-15968.316,49592.680,9047.515,-73906.610,0.022,0.927,0.539,-1.526,-0.793,-0.885,73.333,30.000,1.000
-76081.346,-56292.194,-107147.394,-61590.337,-35331.523,26849.737,-11610.802,-90163.251,0.024,0.924,0.542,-1.709,-1.007,-0.732,73.333,31.000,1.000
-92205.212,-73432.398,-121557.175,-78543.459,-53689.872,5142.889,-31273.421,-105520.687,0.026,0.920,0.540,-2.014,-1.251,-0.580,73.333,32.000,1.000
-107449.898,-89652.947,-135121.304,-94586.617,-71104.589,-15512.398,-49961.859,-120004.457,0.030,0.914,0.541,-2.075,-1.373,-0.580,73.333,33.000,1.000
-121828.959,-104987.123,-147867.930,-109729.531,-87611.503,-35148.144,-67689.842,-133645.608,0.031,0.911,0.539,-1.953,-1.526,-0.427,73.333,34.000,1.000
-135361.127,-119456.829,-159817.155,-124007.627,-103218.643,-53808.543,-84481.990,-146466.578,0.032,0.908,0.540,-1.984,-1.465,-0.244,73.333,35.000,1.000
-148073.063,-133080.472,-170988.292,-137451.320,-117942.517,-71516.865,-100367.114,-158486.031,0.032,0.906,0.541,-2.045,-1.648,-0.122,73.333,36.000,1.000
-159989.410,-145880.890,-181403.836,-150078.387,-131812.724,-88288.371,-115369.034,-169725.783,0.030,0.906,0.541,-1.953,-1.617,-0.122,73.333,37.000,1.000
-171130.578,-157882.532,-191086.532,-161907.245,-144855.843,-104146.677,-129508.753,-180209.256,0.030,0.906,0.540,-1.801,-1.648,-0.122,73.333,38.000,1.000
-181517.070,-169107.559,-200057.282,-172961.727,-157091.760,-119119.442,-142808.857,-189958.174,0.033,0.907,0.543,-1.678,-1.709,-0.183,73.333,39.000,1.000
-191170.914,-179576.758,-208336.279,-183265.480,-168540.677,-133230.479,-155292.954,-198992.947,0.037,0.910,0.542,-1.678,-1.587,-0.183,73.333,40.000,1.000
-200113.828,-189311.411,-215944.074,-192839.243,-179225.459,-146500.964,-166983.606,-207334.217,0.039,0.911,0.545,-1.556,-1.404,-0.244,73.333,41.000,1.000
-208366.386,-198333.058,-222901.165,-201703.144,-189168.673,-158953.150,-177902.391,-215002.834,0.038,0.910,0.546,-1.587,-1.312,-0.183,73.333,42.000,1.000
-215948.783,-206662.624,-229227.466,-209878.162,-198391.219,-170610.181,-188070.850,-222019.149,0.038,0.911,0.545,-1.648,-1.221,-0.305,73.333,43.000,1.000
-222881.281,-214320.443,-234942.450,-217385.224,-206913.560,-181494.375,-197510.550,-228402.958,0.040,0.910,0.548,-1.617,-1.038,-0.275,73.333,44.000,1.000
-229183.914,-221326.656,-240065.401,-224244.451,-214756.461,-191627.144,-206242.667,-234173.817,0.038,0.911,0.544,-1.648,-0.793,-0.214,73.333,45.000,1.000
-234876.247,-227701.247,-244615.380,-230475.496,-221940.501,-201029.773,-214287.904,-239351.106,0.037,0.907,0.545,-1.526,-0.610,-0.366,73.333,46.000,1.000
-239977.499,-233463.859,-248611.102,-236097.923,-228485.693,-209723.530,-221666.689,-243953.884,0.037,0.907,0.544,-1.343,-0.458,-0.458,73.333,47.000,1.000
-244506.656,-238633.763,-252070.944,-241131.094,-234411.663,-217729.325,-228399.221,-248000.854,0.037,0.907,0.543,-1.190,-0.244,-0.519,73.333,48.000,1.000
-248482.434,-243229.944,-255013.005,-245593.979,-239737.853,-225067.624,-234505.393,-251510.424,0.038,0.910,0.543,-1.038,-0.092,-0.580,73.333,49.000,1.000
-251923.222,-247271.117,-257455.104,-249505.197,-244483.450,-231758.602,-240004.758,-254500.728,0.036,0.912,0.543,-0.977,0.061,-0.610,73.333,50.000,1.000
-254847.094,-250775.699,-259414.758,-252883.103,-248667.292,-237822.190,-244916.568,-256989.608,0.036,0.916,0.544,-1.007,0.153,-0.580,73.333,51.000,1.000
-257271.841,-253761.791,-260909.184,-255745.785,-252307.893,-243278.023,-249259.790,-258994.596,0.035,0.917,0.545,-1.007,0.244,-0.549,73.333,52.000,1.000
-259214.965,-256247.201,-261955.302,-258111.018,-255423.489,-248145.401,-253053.093,-260532.928,0.032,0.917,0.540,-1.068,0.305,-0.580,73.333,53.000,1.000
-260693.671,-258249.445,-262569.748,-259996.267,-258032.031,-252443.321,-256314.840,-261621.552,0.032,0.918,0.542,-1.038,0.397,-0.580,73.333,54.000,1.000
-261724.864,-259785.747,-262768.864,-261418.711,-260151.166,-256190.493,-259063.094,-262277.125,0.032,0.918,0.543,-1.160,0.427,-0.397,73.333,55.000,1.000
-262325.160,-260873.035,-262568.703,-262395.238,-261798.241,-259405.329,-261315.627,-262516.010,0.031,0.917,0.543,-1.282,0.549,-0.427,73.333,56.000,1.000
-262510.885,-261527.941,-261985.026,-262942.445,-262990.308,-262105.938,-263089.912,-262354.280,0.032,0.916,0.545,-1.343,0.488,-0.488,73.333,57.000,1.000
-262298.076,-261766.812,-261033.309,-263076.634,-263744.132,-264310.131,-264403.129,-261807.719,0.031,0.912,0.545,-1.495,0.519,-0.397,73.333,58.000,1.000
-261702.480,-261605.701,-259728.741,-262813.818,-264076.186,-266035.422,-265272.162,-260891.826,0.028,0.910,0.542,-1.495,0.610,-0.458,73.333,59.000,1.000
