EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
503.946,171.030,28.495,-102.001,-175.799,-345.174,-309.577,538.717,0.044,0.943,0.437,-1.617,0.061,-1.648,73.333,633.000,1.000
519.442,189.230,33.538,-95.145,-167.909,-334.943,-294.378,575.251,0.045,0.945,0.441,-1.526,0.000,-1.678,73.333,634.000,1.000
538.346,211.452,40.052,-86.884,-158.578,-323.326,-277.895,612.305,0.044,0.947,0.439,-1.282,-0.092,-1.740,73.333,635.000,1.000
570.917,239.376,47.595,-77.729,-148.189,-310.666,-260.228,651.866,0.042,0.949,0.436,-1.099,-0.183,-1.617,73.333,636.000,1.000
601.602,262.845,53.939,-69.625,-138.800,-298.866,-243.495,688.711,0.039,0.951,0.434,-0.916,-0.244,-1.648,73.333,637.000,1.000
626.868,283.991,58.801,-62.501,-130.543,-288.169,-228.079,723.074,0.041,0.954,0.435,-0.824,-0.427,-1.465,73.333,638.000,1.000
657.813,313.951,63.976,-54.808,-121.831,-277.060,-212.414,760.125,0.040,0.958,0.437,-0.854,-0.427,-1.465,73.333,639.000,1.000
692.488,347.311,69.758,-46.824,-112.789,-265.445,-196.470,795.891,0.040,0.958,0.436,-0.824,-0.580,-1.343,73.333,640.000,1.000
716.265,369.492,74.834,-39.876,-104.761,-254.488,-181.436,823.525,0.039,0.958,0.436,-0.824,-0.610,-1.251,73.333,641.000,1.000
728.327,381.754,79.320,-33.414,-97.161,-243.877,-166.805,845.696,0.037,0.959,0.438,-0.885,-0.793,-1.129,73.333,642.000,1.000
745.455,398.641,84.437,-26.061,-88.511,-232.489,-151.363,869.496,0.038,0.960,0.435,-0.885,-0.946,-1.099,73.333,643.000,1.000
771.838,423.863,89.365,-18.824,-79.984,-221.329,-136.177,895.283,0.037,0.960,0.435,-0.977,-1.038,-1.068,73.333,644.000,1.000
797.470,448.676,91.713,-14.202,-74.214,-212.671,-123.575,918.710,0.039,0.960,0.432,-1.007,-0.946,-1.007,73.333,645.000,1.000
821.512,471.504,92.045,-11.589,-70.337,-205.785,-112.930,941.802,0.042,0.962,0.431,-1.129,-1.007,-0.977,73.333,646.000,1.000
850.685,498.326,94.144,-7.151,-64.409,-197.056,-100.644,970.164,0.043,0.962,0.435,-1.343,-1.160,-0.946,73.333,647.000,1.000
878.760,526.667,99.720,0.868,-54.963,-184.948,-85.039,1002.071,0.042,0.963,0.433,-1.617,-1.129,-0.793,73.333,648.000,1.000
893.645,548.152,106.958,10.534,-44.015,-171.193,-67.929,1031.742,0.041,0.963,0.437,-1.953,-1.099,-0.610,73.333,649.000,1.000
905.814,566.629,113.724,19.531,-33.743,-157.833,-51.561,1059.460,0.041,0.960,0.434,-2.106,-1.068,-0.610,73.333,650.000,1.000
928.804,591.159,119.131,27.104,-24.938,-145.672,-36.611,1088.428,0.041,0.958,0.430,-2.197,-1.007,-0.549,73.333,651.000,1.000
954.199,617.568,123.753,34.121,-16.786,-134.094,-22.223,1117.129,0.041,0.957,0.431,-2.319,-1.068,-0.549,73.333,652.000,1.000
973.903,637.715,128.623,41.589,-8.120,-122.290,-7.575,1143.309,0.041,0.957,0.431,-2.197,-1.068,-0.458,73.333,653.000,1.000
992.043,653.400,133.363,48.858,0.600,-110.817,6.742,1167.326,0.042,0.956,0.435,-2.045,-1.099,-0.305,73.333,654.000,1.000
1010.406,669.512,137.344,55.205,8.567,-100.156,20.237,1188.206,0.043,0.955,0.437,-2.045,-1.099,-0.275,73.333,655.000,1.000
