EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
179079.500,163269.578,685552.625,220356.563,685564.750,180171.438,315090.688,158464.125,-0.010,0.896,0.580,-1.404,-0.946,0.031,73.333,19905.000,1.000
177468.031,162026.547,684863.625,219629.406,685214.688,179675.313,314694.594,157987.141,-0.010,0.896,0.577,-1.465,-1.099,0.183,73.333,19906.000,1.000
179165.250,163529.391,685885.313,220503.453,685803.063,180372.234,315265.188,158649.828,-0.009,0.896,0.579,-1.343,-1.068,0.244,73.333,19907.000,1.000
181735.688,165582.984,687126.000,221682.203,686651.625,181227.328,315952.375,159456.547,-0.007,0.896,0.579,-1.526,-1.038,0.305,73.333,19908.000,1.000
181772.531,165501.266,687000.563,221642.500,686560.500,181155.094,315883.281,159386.094,-0.007,0.894,0.575,-1.343,-1.007,0.366,73.333,19909.000,1.000
179082.719,163276.016,685581.313,220355.391,685591.813,180200.672,315098.000,158468.422,-0.008,0.894,0.575,-1.282,-1.068,0.214,73.333,19910.000,1.000
177457.297,162017.078,684884.500,219621.188,685258.813,179697.656,314698.375,157986.781,-0.008,0.894,0.572,-1.282,-1.038,0.305,73.333,19911.000,1.000
179120.188,163488.531,685887.813,220477.172,685812.813,180374.656,315253.844,158633.375,-0.005,0.894,0.575,-1.160,-0.977,0.244,73.333,19912.000,1.000
181681.969,165535.156,687126.563,221653.406,686654.563,181221.516,315935.219,159435.813,-0.003,0.896,0.574,-1.160,-0.946,0.244,73.333,19913.000,1.000
181728.906,165459.594,687001.125,221613.719,686562.125,181144.266,315860.375,159359.719,-0.002,0.895,0.574,-1.068,-0.916,0.122,73.333,19914.000,1.000
179043.297,163234.344,685571.750,220322.313,685591.188,180183.953,315065.813,158433.375,-0.001,0.898,0.575,-1.129,-0.793,0.153,73.333,19915.000,1.000
177389.891,161952.797,684852.500,219565.938,685256.500,179662.797,314645.531,157932.344,-0.002,0.896,0.575,-1.099,-0.702,0.061,73.333,19916.000,1.000
179035.156,163409.234,685844.188,220408.328,685802.625,180330.672,315191.094,158570.797,-0.001,0.899,0.575,-1.099,-0.519,0.000,73.333,19917.000,1.000
181664.078,165519.063,687142.750,221641.156,686693.750,181238.500,315930.656,159431.781,-0.005,0.898,0.575,-1.190,-0.427,-0.061,73.333,19918.000,1.000
181732.922,165460.406,687026.750,221609.688,686604.875,181168.406,315860.375,159361.063,-0.004,0.898,0.576,-1.190,-0.488,-0.122,73.333,19919.000,1.000
179047.141,163238.734,685601.188,220321.609,685622.625,180210.766,315073.594,158440.078,-0.005,0.897,0.577,-1.160,-0.519,-0.031,73.333,19920.000,1.000
177371.922,161941.609,684871.875,219555.922,685274.500,179685.234,314649.281,157934.297,-0.006,0.898,0.573,-1.221,-0.427,-0.153,73.333,19921.000,1.000
178972.125,163359.609,685837.313,220368.000,685802.625,180326.188,315169.969,158544.594,-0.007,0.895,0.574,-1.160,-0.427,-0.214,73.333,19922.000,1.000
181580.844,165447.000,687106.438,221568.203,686659.125,181197.281,315872.906,159369.641,-0.006,0.896,0.576,-1.251,-0.336,-0.244,73.333,19923.000,1.000
181695.469,165428.844,687017.125,221565.344,686594.063,181148.016,315825.438,159322.969,-0.002,0.895,0.575,-1.343,-0.305,-0.244,73.333,19924.000,1.000
179073.156,163261.078,685635.500,220328.313,685627.625,180236.344,315083.094,158448.219,-0.005,0.893,0.573,-1.373,-0.336,-0.031,73.333,19925.000,1.000
177397.406,161958.516,684905.250,219566.922,685223.875,179714.828,314663.031,157945.656,-0.007,0.895,0.573,-1.343,-0.305,0.000,73.333,19926.000,1.000
178989.734,163372.391,685862.750,220379.625,685791.625,180360.531,315184.906,158558.641,-0.010,0.897,0.572,-1.190,-0.305,-0.031,73.333,19927.000,1.000
181595.063,165459.156,687125.188,221576.781,686652.750,181229.469,315884.156,159381.266,-0.010,0.897,0.574,-1.190,-0.275,-0.061,73.333,19928.000,1.000
181722.281,165449.234,687040.688,221577.594,686592.063,181183.516,315836.969,159335.578,-0.010,0.898,0.572,-1.221,-0.366,0.061,73.333,19929.000,1.000
179067.703,163248.484,685624.250,220306.500,685621.313,180233.844,315055.094,158421.391,-0.008,0.897,0.570,-1.251,-0.366,0.214,73.333,19930.000,1.000
177364.859,161926.141,684877.688,219527.484,685254.063,179692.656,314618.438,157900.594,-0.007,0.900,0.571,-1.190,-0.366,0.305,73.333,19931.000,1.000
178975.172,163363.641,685864.188,220370.859,685810.750,180364.906,315173.188,158544.781,-0.008,0.899,0.572,-1.099,-0.427,0.305,73.333,19932.000,1.000
181586.391,165457.719,687131.813,221575.266,686670.625,181236.359,315876.563,159371.797,-0.007,0.900,0.573,-1.129,-0.397,0.336,73.333,19933.000,1.000
181735.250,165466.031,687060.938,221587.063,686618.813,181198.266,315834.094,159334.781,-0.007,0.899,0.574,-1.221,-0.366,0.397,73.333,19934.000,1.000
179087.453,163269.938,685654.250,220321.422,685638.813,180255.109,315059.031,158429.891,-0.007,0.900,0.576,-1.221,-0.519,0.336,73.333,19935.000,1.000
177353.328,161916.672,684885.000,219521.672,685248.000,179696.672,314607.438,157893.797,-0.006,0.898,0.577,-1.282,-0.580,0.397,73.333,19936.000,1.000
178918.656,163310.250,685829.313,220325.891,685776.688,180331.297,315124.906,158499.172,-0.006,0.899,0.577,-1.343,-0.641,0.519,73.333,19937.000,1.000
181561.531,165431.797,687123.875,221558.453,686663.063,181229.828,315853.500,159351.219,-0.005,0.899,0.576,-1.495,-0.610,0.549,73.333,19938.000,1.000
181733.281,165459.953,687070.188,221590.906,686628.438,181205.516,315829.438,159328.969,-0.006,0.897,0.574,-1.495,-0.549,0.549,73.333,19939.000,1.000
179077.453,163255.266,685641.688,220311.953,685625.375,180244.125,315039.188,158408.344,-0.006,0.897,0.574,-1.312,-0.488,0.549,73.333,19940.000,1.000
177356.453,161918.453,684888.875,219531.688,685204.563,179706.609,314609.313,157893.000,-0.003,0.898,0.576,-1.434,-0.458,0.397,73.333,19941.000,1.000
