EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1827.832,1506.135,72.798,75.823,77.136,81.501,88.196,603.981,0.039,0.931,0.503,-1.831,0.336,-0.458,73.333,993.000,1.000
-145.670,-154.703,33.609,36.663,38.224,42.510,-475.888,-105.838,0.035,0.932,0.503,-1.709,0.183,-0.427,73.333,994.000,1.000
-1844.247,-1494.072,30.919,33.831,35.875,39.680,-896.509,-646.815,0.032,0.932,0.501,-1.678,0.153,-0.458,73.333,995.000,1.000
-925.648,-661.215,68.527,71.366,73.580,76.987,-532.494,-265.883,0.031,0.931,0.499,-1.617,0.000,-0.580,73.333,996.000,1.000
1349.892,1202.652,94.523,97.460,99.486,102.866,173.563,515.978,0.031,0.932,0.502,-1.556,-0.153,-0.458,73.333,997.000,1.000
1862.331,1540.556,73.159,76.177,77.990,81.586,310.134,627.707,0.031,0.931,0.504,-1.495,-0.336,-0.458,73.333,998.000,1.000
-84.458,-106.854,33.374,36.284,38.062,41.881,-251.108,-79.333,0.031,0.929,0.503,-1.404,-0.519,-0.488,73.333,999.000,1.000
-1810.206,-1472.899,28.245,31.015,32.883,36.813,-682.631,-631.155,0.031,0.929,0.503,-1.434,-0.763,-0.458,73.333,1000.000,1.000
-941.765,-680.137,62.483,65.296,67.260,71.169,-337.236,-268.691,0.034,0.927,0.502,-1.221,-0.946,-0.305,73.333,1001.000,1.000
1318.581,1172.036,85.614,88.564,90.621,94.470,359.494,505.682,0.033,0.927,0.503,-1.129,-1.007,-0.153,73.333,1002.000,1.000
1837.154,1514.554,61.457,64.377,66.563,70.497,491.771,616.247,0.035,0.927,0.500,-1.068,-1.160,-0.122,73.333,1003.000,1.000
-120.193,-141.092,19.631,22.365,24.590,28.810,-79.290,-98.574,0.034,0.930,0.499,-1.190,-1.221,0.061,73.333,1004.000,1.000
-1854.262,-1515.054,15.564,18.209,20.250,24.774,-518.338,-656.667,0.036,0.931,0.500,-1.190,-1.312,0.122,73.333,1005.000,1.000
-968.906,-712.732,52.622,55.367,57.144,61.833,-173.304,-291.598,0.038,0.931,0.500,-1.190,-1.343,0.275,73.333,1006.000,1.000
1308.703,1150.708,77.222,80.151,81.816,86.563,521.029,485.150,0.040,0.932,0.500,-1.190,-1.343,0.305,73.333,1007.000,1.000
1824.585,1493.296,53.650,56.755,58.516,63.246,646.478,593.154,0.042,0.934,0.502,-1.343,-1.160,0.275,73.333,1008.000,1.000
-146.189,-169.745,11.515,14.792,16.740,21.367,66.743,-127.654,0.043,0.933,0.502,-1.373,-1.129,0.336,73.333,1009.000,1.000
-1899.623,-1559.569,3.838,7.279,9.295,13.792,-386.745,-697.275,0.044,0.932,0.502,-1.465,-1.129,0.488,73.333,1010.000,1.000
-1033.498,-774.959,36.219,39.720,41.648,46.044,-57.094,-342.370,0.044,0.932,0.502,-1.648,-0.977,0.488,73.333,1011.000,1.000
1249.406,1092.405,60.375,63.789,65.647,70.027,636.554,439.938,0.044,0.931,0.501,-1.740,-0.824,0.427,73.333,1012.000,1.000
1802.133,1464.796,39.753,42.977,44.842,49.325,775.574,566.452,0.044,0.929,0.500,-1.770,-0.732,0.366,73.333,1013.000,1.000
-136.401,-173.007,0.365,3.372,5.222,9.812,207.030,-139.068,0.043,0.926,0.502,-1.648,-0.732,0.336,73.333,1014.000,1.000
-1895.876,-1565.135,-2.926,-0.049,1.756,6.330,-241.620,-700.278,0.041,0.927,0.505,-1.648,-0.610,0.275,73.333,1015.000,1.000
-1052.790,-793.381,36.665,39.538,41.306,45.826,95.436,-336.147,0.040,0.927,0.502,-1.617,-0.519,0.214,73.333,1016.000,1.000
1233.646,1077.675,64.906,67.850,69.598,74.102,797.893,456.601,0.041,0.927,0.501,-1.648,-0.549,0.122,73.333,1017.000,1.000
1811.600,1465.158,42.067,45.138,46.966,51.425,938.459,588.641,0.041,0.924,0.499,-1.587,-0.519,0.122,73.333,1018.000,1.000
-120.061,-171.030,-0.422,2.748,4.790,9.148,362.819,-119.526,0.041,0.925,0.501,-1.404,-0.519,0.183,73.333,1019.000,1.000
-1896.031,-1578.745,-5.270,-2.107,0.127,4.317,-99.390,-692.233,0.039,0.924,0.501,-1.282,-0.488,0.031,73.333,1020.000,1.000
-1061.959,-819.073,31.296,34.449,36.687,40.673,221.938,-342.508,0.040,0.922,0.500,-1.160,-0.427,0.092,73.333,1021.000,1.000
