EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-49083.118,-35895.487,-6751.574,-5643.312,-4917.146,-4807.240,-15413.761,-57518.262,0.035,0.950,0.459,-1.526,-0.580,-0.549,73.333,273.000,1.000
-46516.106,-33907.580,-6767.357,-5748.259,-5071.942,-5096.347,-15724.834,-56612.132,0.036,0.951,0.459,-1.648,-0.427,-0.397,73.333,274.000,1.000
-45999.364,-33687.003,-6824.350,-5884.902,-5268.649,-5424.676,-16060.108,-56448.696,0.036,0.951,0.457,-1.801,-0.366,-0.275,73.333,275.000,1.000
-48037.472,-35542.701,-6888.431,-6021.569,-5463.801,-5753.376,-16384.231,-57119.111,0.034,0.952,0.456,-1.801,-0.397,-0.336,73.333,276.000,1.000
-49559.623,-36877.265,-6907.610,-6119.752,-5609.585,-6031.391,-16658.428,-57507.593,0.035,0.955,0.456,-1.770,-0.275,-0.397,73.333,277.000,1.000
-48167.093,-35776.530,-6881.926,-6178.943,-5715.475,-6263.242,-16885.595,-56836.625,0.032,0.955,0.456,-1.862,-0.244,-0.336,73.333,278.000,1.000
-45446.900,-33656.624,-6865.286,-6240.509,-5832.848,-6502.520,-17107.773,-55746.790,0.031,0.955,0.456,-1.953,-0.214,-0.458,73.333,279.000,1.000
-44780.717,-33309.489,-6893.898,-6339.577,-5988.666,-6780.966,-17357.075,-55411.344,0.031,0.955,0.458,-2.045,-0.336,-0.458,73.333,280.000,1.000
-46686.824,-35057.464,-6936.633,-6456.268,-6152.595,-7066.792,-17612.906,-55920.778,0.032,0.953,0.462,-2.106,-0.366,-0.519,73.333,281.000,1.000
-48111.467,-36313.948,-6936.062,-6535.366,-6275.550,-7306.361,-17823.006,-56164.322,0.034,0.949,0.461,-2.197,-0.336,-0.549,73.333,282.000,1.000
-46642.012,-35151.694,-6888.594,-6563.332,-6354.331,-7497.141,-17974.888,-55365.403,0.037,0.945,0.459,-2.258,-0.397,-0.519,73.333,283.000,1.000
-43826.641,-32958.052,-6852.386,-6595.136,-6439.701,-7693.944,-18120.958,-54152.265,0.036,0.942,0.460,-2.258,-0.397,-0.549,73.333,284.000,1.000
-43036.611,-32516.019,-6865.664,-6677.473,-6568.410,-7933.403,-18306.810,-53685.661,0.036,0.942,0.458,-2.106,-0.366,-0.488,73.333,285.000,1.000
-44816.382,-34161.800,-6890.479,-6776.155,-6708.622,-8180.188,-18500.661,-54054.718,0.033,0.942,0.457,-2.014,-0.366,-0.488,73.333,286.000,1.000
-46123.095,-35314.809,-6864.291,-6821.381,-6799.783,-8373.482,-18634.233,-54151.884,0.033,0.944,0.461,-1.953,-0.275,-0.580,73.333,287.000,1.000
-44525.320,-34038.527,-6787.218,-6808.914,-6836.965,-8511.250,-18701.493,-53199.184,0.032,0.944,0.461,-1.953,-0.214,-0.519,73.333,288.000,1.000
-41572.015,-31725.188,-6723.099,-6808.621,-6881.758,-8655.360,-18770.685,-51827.501,0.031,0.943,0.458,-1.953,-0.305,-0.549,73.333,289.000,1.000
-40669.008,-31186.363,-6712.673,-6866.005,-6979.017,-8847.966,-18888.798,-51216.037,0.032,0.943,0.458,-1.923,-0.183,-0.549,73.333,290.000,1.000
-42373.993,-32770.366,-6718.095,-6938.345,-7093.140,-9053.024,-19015.158,-51468.454,0.030,0.942,0.457,-1.709,-0.275,-0.488,73.333,291.000,1.000
-43616.390,-33872.688,-6675.766,-6957.063,-7156.984,-9206.008,-19080.437,-51465.672,0.027,0.941,0.456,-1.648,-0.305,-0.641,73.333,292.000,1.000
-41945.158,-32535.822,-6585.010,-6925.159,-7167.462,-9304.654,-19085.807,-50412.212,0.026,0.942,0.454,-1.465,-0.336,-0.610,73.333,293.000,1.000
-38913.525,-30153.484,-6507.780,-6909.457,-7189.451,-9411.402,-19098.587,-48936.691,0.027,0.945,0.455,-1.404,-0.366,-0.732,73.333,294.000,1.000
-37925.483,-29538.285,-6481.277,-6944.615,-7262.554,-9564.565,-19155.137,-48220.063,0.026,0.948,0.458,-1.343,-0.519,-0.732,73.333,295.000,1.000
-39538.588,-31041.283,-6467.410,-6987.943,-7346.220,-9725.555,-19212.758,-48367.041,0.026,0.951,0.458,-1.373,-0.488,-0.732,73.333,296.000,1.000
-40703.505,-32075.870,-6406.592,-6981.251,-7378.359,-9833.820,-19212.239,-48266.758,0.027,0.950,0.456,-1.495,-0.610,-0.702,73.333,297.000,1.000
-38976.687,-30688.632,-6299.397,-6929.136,-7361.408,-9890.416,-19158.484,-47126.382,0.027,0.950,0.454,-1.465,-0.610,-0.641,73.333,298.000,1.000
-35877.766,-28244.034,-6203.941,-6889.161,-7355.873,-9954.449,-19110.137,-45559.021,0.030,0.949,0.453,-1.526,-0.641,-0.549,73.333,299.000,1.000
-34788.620,-27537.966,-6155.927,-6893.713,-7396.155,-10061.367,-19099.507,-44735.601,0.030,0.951,0.454,-1.526,-0.519,-0.519,73.333,300.000,1.000
-36307.046,-28955.797,-6122.707,-6910.272,-7447.405,-10177.559,-19093.261,-44780.738,0.031,0.950,0.456,-1.434,-0.580,-0.519,73.333,301.000,1.000
-37429.378,-29947.255,-6049.403,-6886.559,-7455.433,-10248.037,-19039.352,-44606.779,0.029,0.951,0.457,-1.434,-0.732,-0.305,73.333,302.000,1.000
-35685.759,-28537.972,-5933.403,-6819.893,-7419.530,-10270.931,-18936.240,-43410.239,0.028,0.950,0.454,-1.648,-0.763,-0.397,73.333,303.000,1.000
-32547.264,-26055.211,-5828.646,-6762.006,-7393.520,-10300.438,-18836.013,-41781.873,0.028,0.951,0.453,-1.617,-0.702,-0.275,73.333,304.000,1.000
-31404.446,-25300.501,-5770.928,-6748.495,-7411.620,-10371.702,-18773.619,-40892.334,0.027,0.950,0.456,-1.587,-0.854,-0.153,73.333,305.000,1.000
-32877.183,-26673.714,-5726.105,-6747.008,-7439.212,-10450.140,-18716.389,-40870.117,0.026,0.949,0.453,-1.587,-0.977,-0.122,73.333,306.000,1.000
-33945.543,-27612.662,-5637.275,-6701.219,-7420.460,-10479.391,-18608.469,-40622.098,0.025,0.949,0.452,-1.587,-1.007,-0.061,73.333,307.000,1.000
-32132.081,-26138.447,-5504.750,-6610.362,-7356.567,-10460.524,-18449.526,-39348.784,0.027,0.950,0.452,-1.678,-1.099,-0.061,73.333,308.000,1.000
-28931.760,-23593.605,-5385.788,-6531.095,-7304.362,-10450.685,-18296.262,-37652.672,0.027,0.951,0.453,-1.678,-1.221,0.092,73.333,309.000,1.000
-27745.927,-22787.124,-5316.363,-6499.863,-7298.878,-10485.093,-18185.211,-36707.647,0.025,0.949,0.450,-1.648,-1.251,0.153,73.333,310.000,1.000
-29184.267,-24117.851,-5261.823,-6482.333,-7305.339,-10528.817,-18082.323,-36638.297,0.026,0.950,0.453,-1.678,-1.282,0.122,73.333,311.000,1.000
-30222.475,-25024.480,-5163.620,-6419.700,-7265.878,-10523.817,-17928.976,-36345.679,0.028,0.949,0.456,-1.770,-1.343,0.183,73.333,312.000,1.000
-28383.168,-23523.785,-5020.855,-6310.975,-7180.054,-10469.709,-17724.226,-35027.861,0.026,0.950,0.456,-1.862,-1.526,0.244,73.333,313.000,1.000
-25153.721,-20949.318,-4893.230,-6216.064,-7107.227,-10426.093,-17528.160,-33291.811,0.026,0.945,0.455,-2.045,-1.495,0.427,73.333,314.000,1.000
-23931.367,-20109.493,-4818.983,-6173.188,-7084.998,-10430.829,-17379.204,-32314.776,0.028,0.942,0.452,-2.045,-1.678,0.519,73.333,315.000,1.000
-25345.942,-21418.655,-4762.277,-6146.419,-7077.556,-10448.064,-17241.443,-32223.543,0.028,0.944,0.453,-1.953,-1.740,0.336,73.333,316.000,1.000
-26398.675,-22330.181,-4662.075,-6074.868,-7024.525,-10417.060,-17054.029,-31922.047,0.030,0.945,0.454,-1.709,-1.709,0.397,73.333,317.000,1.000
-24589.899,-20841.495,-4514.190,-5954.316,-6921.968,-10333.739,-16813.025,-30595.203,0.029,0.948,0.455,-1.831,-1.709,0.519,73.333,318.000,1.000
-21354.397,-18249.172,-4375.768,-5841.633,-6826.557,-10255.063,-16575.635,-28827.945,0.029,0.949,0.454,-1.770,-1.801,0.549,73.333,319.000,1.000
-20093.209,-17368.672,-4287.887,-5777.995,-6779.089,-10222.021,-16383.291,-27805.537,0.033,0.948,0.454,-1.801,-1.801,0.580,73.333,320.000,1.000
-21487.902,-18654.222,-4220.452,-5733.669,-6749.772,-10204.783,-16206.375,-27684.327,0.035,0.947,0.457,-1.801,-1.770,0.397,73.333,321.000,1.000
