EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
356119.827,472507.397,710831.826,710965.239,710757.977,710554.434,711220.727,297176.909,0.010,0.941,0.451,-1.709,-0.519,-0.824,73.333,761.000,1.000
356027.325,472430.522,710835.409,710968.528,710761.537,710557.963,711221.699,297121.915,0.010,0.944,0.454,-1.526,-0.610,-0.946,73.333,762.000,1.000
356040.822,472451.150,710837.289,710970.086,710763.399,710559.273,711221.774,297111.939,0.007,0.948,0.451,-1.404,-0.671,-0.946,73.333,763.000,1.000
355940.511,472350.793,710836.855,710969.853,710762.854,710559.076,711219.824,297037.016,0.005,0.951,0.451,-1.343,-0.763,-1.038,73.333,764.000,1.000
355883.164,472321.485,710837.538,710970.814,710763.903,710559.586,711217.931,297004.254,0.006,0.954,0.450,-1.343,-0.977,-0.977,73.333,765.000,1.000
355847.375,472281.891,710837.004,710970.146,710763.419,710558.711,711213.131,296954.777,0.005,0.956,0.453,-1.160,-1.038,-0.977,73.333,766.000,1.000
355734.372,472181.614,710832.355,710965.351,710758.766,710554.495,711205.222,296873.868,0.005,0.960,0.453,-1.068,-1.038,-0.946,73.333,767.000,1.000
355724.069,472188.392,710832.389,710965.485,710758.898,710554.547,711203.970,296851.889,0.006,0.960,0.452,-1.282,-1.099,-0.885,73.333,768.000,1.000
355603.575,472070.990,710831.563,710964.638,710758.208,710554.098,711200.203,296771.009,0.007,0.959,0.454,-1.343,-1.221,-0.732,73.333,769.000,1.000
355599.049,472077.794,710831.191,710964.444,710757.512,710553.520,711193.746,296747.996,0.010,0.956,0.450,-1.434,-1.099,-0.580,73.333,770.000,1.000
355531.514,472010.226,710831.420,710964.366,710757.056,710552.820,711177.751,296684.170,0.010,0.952,0.448,-1.526,-1.068,-0.488,73.333,771.000,1.000
355437.094,471931.591,710834.286,710967.358,710760.501,710556.262,711162.682,296627.608,0.010,0.950,0.445,-1.556,-1.038,-0.519,73.333,772.000,1.000
355400.676,471911.145,710834.794,710967.834,710761.070,710556.853,711171.405,296593.585,0.010,0.951,0.443,-1.495,-0.916,-0.366,73.333,773.000,1.000
355314.092,471819.545,710834.229,710967.240,710760.101,710556.198,711139.446,296523.036,0.010,0.950,0.446,-1.526,-0.977,-0.366,73.333,774.000,1.000
355242.390,471778.387,710831.564,710964.749,710757.810,710554.199,710627.212,296477.050,0.008,0.948,0.445,-1.495,-0.885,-0.305,73.333,775.000,1.000
355167.971,471710.366,710827.370,710960.310,710754.231,710549.902,709591.142,296409.201,0.010,0.945,0.444,-1.617,-0.824,-0.336,73.333,776.000,1.000
355070.120,471629.831,710831.950,710965.370,710759.143,710554.658,709076.444,296358.002,0.007,0.943,0.439,-1.587,-0.763,-0.366,73.333,777.000,1.000
355084.131,471645.897,710836.864,710970.592,710763.745,710559.625,709134.928,296346.050,0.005,0.944,0.439,-1.587,-0.763,-0.427,73.333,778.000,1.000
354975.616,471533.683,710833.202,710966.517,710759.683,710555.830,708867.681,296257.324,0.004,0.944,0.440,-1.526,-0.854,-0.427,73.333,779.000,1.000
354898.991,471492.142,710834.320,710967.667,710761.427,710557.472,707984.172,296215.253,0.003,0.947,0.442,-1.526,-0.916,-0.549,73.333,780.000,1.000
354837.730,471433.816,710834.641,710968.020,710761.905,710558.068,706917.575,296154.223,0.005,0.949,0.441,-1.465,-0.946,-0.732,73.333,781.000,1.000
354741.736,471342.643,710834.235,710966.966,710760.972,710556.937,706334.491,296087.649,0.006,0.949,0.441,-1.617,-0.946,-0.793,73.333,782.000,1.000
354717.356,471331.036,710831.098,710964.035,710758.055,710553.787,706168.950,296050.722,0.006,0.952,0.447,-1.678,-1.190,-0.763,73.333,783.000,1.000
354583.950,471205.757,710830.043,710962.975,710757.490,710552.978,705766.478,295962.197,0.006,0.953,0.448,-1.770,-1.038,-0.671,73.333,784.000,1.000
354561.536,471196.842,710832.413,710965.562,710760.223,710555.769,705007.828,295939.522,0.007,0.953,0.448,-1.770,-1.007,-0.610,73.333,785.000,1.000
354518.203,471144.497,710833.455,710966.539,710760.925,710556.781,704184.479,295885.555,0.003,0.953,0.448,-1.709,-1.129,-0.641,73.333,786.000,1.000
354416.315,471063.709,710834.848,710967.496,710762.359,710557.788,703639.760,295825.569,0.005,0.955,0.449,-1.770,-1.160,-0.702,73.333,787.000,1.000
354374.438,471042.589,710831.703,710964.922,710759.235,710555.098,703283.860,295784.401,0.005,0.958,0.451,-1.892,-1.099,-0.549,73.333,788.000,1.000
